ws,P,ct
3.0,70,0.82
4.0,595,0.808
5.0,1429,0.823
6.0,2656,0.835
7.0,4339,0.807
8.0,6481,0.805
9.0,9229,0.804
10.0,12661,0.803
11.0,14994,0.607
12.0,14994,0.426
13.0,14995,0.321
14.0,14995,0.251
15.0,14995,0.201
17.5,14995,0.126
20.0,14995,0.085
22.5,14996,0.061
25.0,14998,0.046
