ws,P,ct
4.0,280.2,0.932
5.0,799.1,0.919
6.0,1532.7,0.904
7.0,2506.1,0.858
8.0,3730.7,0.814
9.0,5311.8,0.814
10.0,7286.5,0.814
11.0,9698.3,0.814
12.0,10639.1,0.577
13.0,10648.5,0.419
14.0,10639.3,0.323
15.0,10683.7,0.259
16.0,10642.0,0.211
17.0,10640.0,0.175
18.0,10639.9,0.148
19.0,10652.8,0.126
20.0,10646.2,0.109
21.0,10644.0,0.095
22.0,10641.2,0.084
23.0,10639.5,0.074
24.0,10643.6,0.066
25.0,10635.7,0.059
